Glasses,Hats,Eyes,Mouth,Shirt,Color,Background
standard,aviator,wink,smoking,basketball,#FFFFFF,#E6CAAF
vintage yellow,bennett,dizzy,smoking,scarf,#FFFFFF,#B5B3DA
transparent,santa hat,angry,no expression,hoodie,#D9BD9E,#F68A5C
plastic,aviator,closed,yawn,hawaiian3,#C62B3E,#FD9DCB
standard,snowhat,standard,open,hoodie,#181B2B,#E6CAAF
standard,afro,dizzy,yawn,hoodie,#959A99,#B5B3DA
plastic,afro,closed,standard,scarf,#387DDC,#F68A5C
standard,baseball,sparkling,standard,hawaiian3,#FFFFFF,#F68A5C
vintage red,snowhat,angry,standard,collared,#181B2B,#B5B3DA
standard,green mohawk,angry,open,hawaiian3,#181B2B,#98CDCD
transparent,poop,standard,standard,collared,#959A99,#E6CAAF
vintage red,fishing hat,sparkling,standard,hawaiian2,#F6C3DB,#B5B3DA
nerdy,aviator,sparkling,standard,hoodie,#959A99,#B5B3DA
shiny,baseball,standard,yawn,overalls,#C62B3E,#E6CAAF
shiny,bennett,angry,standard,hawaiian1,#FFFFFF,#E6CAAF
plastic,white mohawk,closed,yawn,hoodie,#959A99,#F68A5C
nerdy,ribs,standard,standard,collared,#959A99,#FAE74B
nerdy,white mohawk,angry,smoking,t-shirt,#D9BD9E,#98CDCD
transparent,baseball,standard,yawn,scarf,#959A99,#FD9DCB
nerdy,white mohawk,wink,yawn,t-shirt,#959A99,#EE2840
nerdy,red mohawk,closed,standard,inmate,#181B2B,#E6CAAF
transparent,ribs,closed,open,basketball,#FFFFFF,#B5B3DA
nerdy,afro,dizzy,yawn,hawaiian2,#387DDC,#98CDCD
standard,sausage,angry,standard,scarf,#FFFFFF,#FD9DCB
shiny,standard,dizzy,smoking,hawaiian2,#959A99,#EE2840
standard,poop,closed,smoking,scarf,#387DDC,#E6CAAF
nerdy,santa hat,angry,grinning,inmate,#959A99,#E6CAAF
nerdy,white mohawk,closed,grinning,scarf,#F6C3DB,#98CDCD
transparent,blue mohawk,wink,smoking,scarf,#F6C3DB,#F68A5C
transparent,afro,standard,open,basketball,#959A99,#B5B3DA
nerdy,snowhat,closed,open,basketball,#F6C3DB,#E6CAAF
cool gold,white mohawk,angry,open,basketball,#D9BD9E,#FD9DCB
standard,white mohawk,angry,smoking,hoodie,#F6C3DB,#B5B3DA
standard,baseball,standard,smoking,overalls,#181B2B,#B5B3DA
standard,bucket hat,wink,no expression,hawaiian3,#FFFFFF,#FAE74B
nerdy,blue mohawk,angry,standard,basketball,#D9BD9E,#F68A5C
plastic,green mohawk,wink,no expression,scarf,#181B2B,#FD9DCB
transparent,green mohawk,standard,standard,basketball,#181B2B,#E6CAAF
transparent,white mohawk,closed,open,overalls,#FFFFFF,#F68A5C
nerdy,aviator,standard,standard,overalls,#FFFFFF,#FD9DCB
transparent,standard,sparkling,grinning,overalls,#181B2B,#98CDCD
standard,white mohawk,angry,yawn,hoodie,#FFFFFF,#E6CAAF
standard,white mohawk,angry,no expression,punk,#D9BD9E,#B5B3DA
standard,sausage,sparkling,open,hawaiian3,#FFFFFF,#E6CAAF
transparent,white mohawk,standard,no expression,hawaiian3,#F6C3DB,#98CDCD
nerdy,sausage,angry,standard,basketball,#C62B3E,#E6CAAF
plastic,white mohawk,angry,yawn,inmate,#FFFFFF,#F68A5C
vintage red,bennett,dizzy,standard,hawaiian2,#959A99,#FD9DCB
vintage red,baseball,angry,open,hawaiian2,#C62B3E,#E6CAAF
nerdy,aviator,dizzy,no expression,inmate,#181B2B,#EE2840
standard,baseball,standard,no expression,hawaiian3,#D9BD9E,#98CDCD
plastic,bennett,closed,open,hawaiian3,#387DDC,#98CDCD
transparent,fishing hat,standard,open,t-shirt,#D9BD9E,#E6CAAF
plastic,bucket hat,angry,grinning,scarf,#D9BD9E,#EE2840
nerdy,standard,wink,open,hoodie,#FFFFFF,#B5B3DA
cool pink,afro,wink,no expression,inmate,#959A99,#98CDCD
plastic,afro,closed,grinning,overalls,#FFFFFF,#E6CAAF
shiny,baseball,dizzy,no expression,punk,#181B2B,#E6CAAF
nerdy,white mohawk,closed,standard,basketball,#959A99,#B5B3DA
nerdy,ribs,standard,smoking,hawaiian1,#959A99,#F68A5C
shiny,standard,closed,standard,inmate,#FFFFFF,#FAE74B
nerdy,ribs,standard,standard,hoodie,#387DDC,#FD9DCB
nerdy,aviator,wink,grinning,scarf,#181B2B,#E6CAAF
vintage red,bucket hat,closed,smoking,t-shirt,#FFFFFF,#F68A5C
shiny,sausage,angry,standard,inmate,#959A99,#B5B3DA
vintage yellow,aviator,wink,standard,hawaiian3,#C62B3E,#FD9DCB
nerdy,bucket hat,standard,open,t-shirt,#959A99,#F68A5C
nerdy,snowhat,dizzy,standard,collared,#181B2B,#B5B3DA
standard,blue mohawk,wink,standard,collared,#F6C3DB,#F68A5C
standard,bucket hat,standard,yawn,inmate,#181B2B,#E6CAAF
vintage red,blue mohawk,closed,smoking,punk,#D9BD9E,#F68A5C
vintage red,snowhat,dizzy,yawn,hawaiian1,#FFFFFF,#F68A5C
cool pink,ribs,standard,yawn,punk,#959A99,#EE2840
cool gold,baseball,angry,open,t-shirt,#C62B3E,#E6CAAF
nerdy,green mohawk,dizzy,open,basketball,#959A99,#FAE74B
shiny,standard,standard,standard,collared,#FFFFFF,#FD9DCB
transparent,afro,standard,standard,inmate,#959A99,#E6CAAF
shiny,santa hat,angry,no expression,hoodie,#D9BD9E,#F68A5C
vintage red,snowhat,standard,standard,basketball,#387DDC,#E6CAAF
nerdy,aviator,closed,standard,basketball,#C62B3E,#EE2840
vintage yellow,white mohawk,standard,grinning,overalls,#D9BD9E,#E6CAAF
nerdy,snowhat,standard,smoking,collared,#D9BD9E,#F68A5C
nerdy,white mohawk,angry,standard,collared,#F6C3DB,#F68A5C
standard,sausage,wink,yawn,scarf,#FFFFFF,#98CDCD
shiny,snowhat,wink,grinning,standard,#FFFFFF,#E6CAAF
shiny,sausage,dizzy,yawn,scarf,#959A99,#98CDCD
cool gold,baseball,angry,standard,standard,#FFFFFF,#EE2840
cool gold,snowhat,standard,no expression,tattoos,#F6C3DB,#98CDCD
cool gold,green mohawk,dizzy,standard,hoodie,#959A99,#E6CAAF
standard,fishing hat,wink,smoking,basketball,#FFFFFF,#F68A5C
vintage red,snowhat,standard,no expression,hoodie,#D9BD9E,#EE2840
standard,afro,dizzy,standard,collared,#FFFFFF,#B5B3DA
vintage red,bennett,closed,standard,hawaiian1,#C62B3E,#E6CAAF
transparent,bennett,standard,open,basketball,#181B2B,#B5B3DA
transparent,bucket hat,angry,yawn,hawaiian3,#181B2B,#EE2840
shiny,white mohawk,wink,smoking,scarf,#959A99,#F68A5C
vintage red,blue mohawk,closed,no expression,overalls,#D9BD9E,#98CDCD
standard,sausage,closed,yawn,hawaiian3,#F6C3DB,#FD9DCB
plastic,red mohawk,standard,yawn,scarf,#D9BD9E,#FAE74B
shiny,standard,standard,no expression,hawaiian2,#D9BD9E,#FD9DCB
standard,ribs,angry,standard,overalls,#C62B3E,#E6CAAF
vintage yellow,baseball,closed,open,basketball,#FFFFFF,#E6CAAF
nerdy,santa hat,angry,grinning,t-shirt,#FFFFFF,#EE2840
nerdy,baseball,standard,yawn,inmate,#D9BD9E,#B5B3DA
standard,santa hat,dizzy,standard,punk,#D9BD9E,#FD9DCB
standard,white mohawk,closed,grinning,scarf,#181B2B,#B5B3DA
standard,standard,closed,smoking,inmate,#387DDC,#FD9DCB
nerdy,blue mohawk,dizzy,smoking,tattoos,#387DDC,#EE2840
vintage red,green mohawk,dizzy,smoking,t-shirt,#181B2B,#FAE74B
transparent,red mohawk,wink,open,hoodie,#181B2B,#FD9DCB
nerdy,white mohawk,angry,open,scarf,#C62B3E,#B5B3DA
nerdy,fishing hat,closed,grinning,hawaiian2,#D9BD9E,#FD9DCB
standard,bennett,dizzy,standard,punk,#181B2B,#B5B3DA
standard,aviator,wink,open,basketball,#181B2B,#F68A5C
standard,snowhat,standard,yawn,overalls,#FFFFFF,#B5B3DA
nerdy,baseball,dizzy,open,hawaiian2,#181B2B,#FD9DCB
shiny,white mohawk,standard,grinning,collared,#C62B3E,#FD9DCB
standard,bucket hat,standard,standard,hawaiian2,#959A99,#B5B3DA
transparent,aviator,wink,fish,hoodie,#D9BD9E,#FD9DCB
vintage red,blue mohawk,wink,standard,scarf,#D9BD9E,#98CDCD
shiny,sausage,standard,standard,t-shirt,#181B2B,#E6CAAF
nerdy,white mohawk,closed,smoking,punk,#959A99,#F68A5C
transparent,aviator,angry,open,overalls,#FFFFFF,#E6CAAF
cool gold,baseball,angry,no expression,basketball,#FFFFFF,#98CDCD
cool pink,red mohawk,dizzy,yawn,overalls,#FFFFFF,#F68A5C
transparent,afro,wink,smoking,collared,#D9BD9E,#B5B3DA
nerdy,aviator,angry,smoking,inmate,#C62B3E,#FD9DCB
transparent,white mohawk,dizzy,no expression,scarf,#D9BD9E,#98CDCD
nerdy,white mohawk,wink,open,hoodie,#D9BD9E,#B5B3DA
standard,bennett,wink,standard,overalls,#181B2B,#FD9DCB
standard,bennett,wink,standard,overalls,#FFFFFF,#E6CAAF
plastic,santa hat,standard,grinning,basketball,#FFFFFF,#F68A5C
transparent,afro,angry,smoking,inmate,#FFFFFF,#98CDCD
standard,bennett,closed,grinning,overalls,#D9BD9E,#FD9DCB
standard,bucket hat,wink,no expression,hawaiian3,#959A99,#98CDCD
nerdy,red mohawk,standard,grinning,hawaiian2,#959A99,#EE2840
cool pink,afro,closed,no expression,punk,#FFFFFF,#FAE74B
shiny,bucket hat,standard,open,collared,#C62B3E,#E6CAAF
nerdy,bennett,closed,standard,hawaiian2,#FFFFFF,#EE2840
nerdy,fishing hat,closed,smoking,hawaiian3,#FFFFFF,#F68A5C
cool pink,green mohawk,angry,grinning,basketball,#181B2B,#F68A5C
plastic,white mohawk,standard,yawn,hawaiian2,#F6C3DB,#FD9DCB
plastic,afro,closed,standard,overalls,#C62B3E,#EE2840
shiny,baseball,dizzy,grinning,scarf,#181B2B,#F68A5C
nerdy,red mohawk,sparkling,yawn,basketball,#FFFFFF,#F68A5C
nerdy,baseball,closed,yawn,basketball,#FFFFFF,#FAE74B
cool pink,snowhat,dizzy,standard,hawaiian3,#387DDC,#E6CAAF
vintage yellow,poop,standard,grinning,punk,#FFFFFF,#FD9DCB
vintage yellow,poop,wink,standard,scarf,#FFFFFF,#FD9DCB
plastic,aviator,wink,standard,overalls,#F6C3DB,#F68A5C
shiny,snowhat,wink,smoking,hawaiian2,#F6C3DB,#E6CAAF
cool gold,bennett,closed,no expression,scarf,#FFFFFF,#EE2840
standard,white mohawk,standard,grinning,hawaiian2,#D9BD9E,#B5B3DA
standard,red mohawk,standard,no expression,hawaiian2,#181B2B,#EE2840
shiny,baseball,dizzy,yawn,inmate,#181B2B,#FAE74B
plastic,bucket hat,sparkling,smoking,scarf,#D9BD9E,#F68A5C
plastic,snowhat,angry,grinning,basketball,#181B2B,#B5B3DA
vintage red,snowhat,wink,standard,overalls,#F6C3DB,#FD9DCB
transparent,fishing hat,standard,open,overalls,#959A99,#E6CAAF
standard,sausage,standard,grinning,punk,#959A99,#B5B3DA
plastic,blue mohawk,standard,open,hawaiian3,#959A99,#E6CAAF
standard,afro,standard,smoking,scarf,#D9BD9E,#B5B3DA
cool gold,white mohawk,dizzy,open,overalls,#D9BD9E,#B5B3DA
standard,bucket hat,wink,open,overalls,#181B2B,#B5B3DA
nerdy,afro,sparkling,yawn,hoodie,#959A99,#B5B3DA
transparent,white mohawk,angry,open,hawaiian3,#F6C3DB,#F68A5C
cool gold,baseball,wink,open,hawaiian2,#D9BD9E,#FD9DCB
shiny,bennett,standard,no expression,collared,#181B2B,#98CDCD
vintage yellow,sausage,dizzy,grinning,hawaiian3,#FFFFFF,#FD9DCB
shiny,green mohawk,angry,smoking,t-shirt,#181B2B,#FD9DCB
standard,sausage,dizzy,grinning,scarf,#F6C3DB,#EE2840
transparent,green mohawk,standard,standard,t-shirt,#FFFFFF,#F68A5C
cool gold,baseball,standard,smoking,hoodie,#181B2B,#98CDCD
standard,afro,standard,open,standard,#FFFFFF,#FD9DCB
transparent,red mohawk,angry,yawn,basketball,#D9BD9E,#F68A5C
standard,snowhat,angry,yawn,punk,#387DDC,#E6CAAF
nerdy,bennett,standard,standard,t-shirt,#181B2B,#B5B3DA
plastic,blue mohawk,sparkling,open,hawaiian3,#C62B3E,#B5B3DA
transparent,baseball,angry,grinning,hawaiian1,#D9BD9E,#F68A5C
nerdy,snowhat,standard,open,collared,#D9BD9E,#FD9DCB
cool gold,bucket hat,wink,standard,scarf,#FFFFFF,#E6CAAF
transparent,sausage,closed,no expression,hawaiian3,#387DDC,#FAE74B
nerdy,white mohawk,angry,standard,basketball,#F6C3DB,#EE2840
transparent,santa hat,sparkling,grinning,hawaiian1,#D9BD9E,#B5B3DA
standard,poop,dizzy,fish,hawaiian2,#FFFFFF,#E6CAAF
shiny,baseball,closed,standard,inmate,#F6C3DB,#B5B3DA
transparent,santa hat,closed,yawn,t-shirt,#181B2B,#EE2840
transparent,afro,wink,standard,basketball,#D9BD9E,#F68A5C
shiny,bucket hat,closed,smoking,tattoos,#FFFFFF,#E6CAAF
vintage red,standard,dizzy,yawn,scarf,#F6C3DB,#FD9DCB
standard,blue mohawk,closed,standard,punk,#FFFFFF,#E6CAAF
transparent,green mohawk,dizzy,open,hawaiian3,#959A99,#E6CAAF
vintage red,afro,standard,grinning,collared,#181B2B,#98CDCD
transparent,white mohawk,closed,yawn,t-shirt,#D9BD9E,#B5B3DA
transparent,bucket hat,wink,yawn,hoodie,#181B2B,#B5B3DA
cool gold,ribs,standard,yawn,hawaiian1,#D9BD9E,#EE2840
transparent,afro,angry,no expression,standard,#F6C3DB,#F68A5C
transparent,blue mohawk,wink,fish,hawaiian3,#D9BD9E,#EE2840
plastic,poop,sparkling,no expression,t-shirt,#C62B3E,#B5B3DA
vintage yellow,snowhat,wink,smoking,scarf,#C62B3E,#EE2840
transparent,afro,standard,no expression,t-shirt,#F6C3DB,#FD9DCB
transparent,white mohawk,angry,standard,hawaiian3,#FFFFFF,#98CDCD
plastic,standard,closed,standard,overalls,#387DDC,#E6CAAF
nerdy,fishing hat,wink,open,hawaiian2,#181B2B,#98CDCD
transparent,bennett,sparkling,grinning,basketball,#F6C3DB,#98CDCD
transparent,ribs,closed,standard,hawaiian3,#FFFFFF,#F68A5C
plastic,snowhat,dizzy,standard,scarf,#F6C3DB,#E6CAAF
standard,fishing hat,closed,no expression,inmate,#D9BD9E,#E6CAAF
standard,snowhat,sparkling,yawn,overalls,#959A99,#F68A5C
transparent,bucket hat,dizzy,yawn,hawaiian1,#F6C3DB,#E6CAAF
plastic,snowhat,wink,open,hawaiian3,#FFFFFF,#FD9DCB
transparent,bucket hat,standard,yawn,inmate,#181B2B,#EE2840
nerdy,blue mohawk,closed,grinning,hoodie,#FFFFFF,#F68A5C
nerdy,afro,standard,fish,scarf,#F6C3DB,#EE2840
plastic,baseball,angry,no expression,collared,#D9BD9E,#EE2840
nerdy,blue mohawk,wink,no expression,hoodie,#F6C3DB,#FD9DCB
nerdy,snowhat,standard,no expression,tattoos,#181B2B,#B5B3DA
cool pink,snowhat,closed,smoking,hawaiian2,#F6C3DB,#F68A5C
plastic,fishing hat,dizzy,grinning,collared,#FFFFFF,#EE2840
cool gold,poop,closed,standard,inmate,#959A99,#98CDCD
plastic,snowhat,closed,standard,inmate,#F6C3DB,#B5B3DA
transparent,fishing hat,angry,no expression,hawaiian1,#FFFFFF,#98CDCD
transparent,ribs,angry,open,t-shirt,#181B2B,#B5B3DA
transparent,baseball,angry,no expression,t-shirt,#D9BD9E,#98CDCD
cool pink,snowhat,dizzy,smoking,overalls,#C62B3E,#E6CAAF
shiny,green mohawk,closed,standard,hoodie,#959A99,#E6CAAF
nerdy,snowhat,standard,smoking,t-shirt,#C62B3E,#E6CAAF
standard,aviator,closed,no expression,collared,#387DDC,#F68A5C
shiny,white mohawk,angry,grinning,scarf,#D9BD9E,#E6CAAF
nerdy,afro,standard,no expression,hawaiian3,#F6C3DB,#EE2840
plastic,fishing hat,angry,standard,hawaiian1,#C62B3E,#FD9DCB
transparent,baseball,closed,open,scarf,#D9BD9E,#E6CAAF
transparent,sausage,angry,standard,inmate,#C62B3E,#FAE74B
transparent,bucket hat,closed,grinning,hoodie,#D9BD9E,#98CDCD
transparent,fishing hat,dizzy,yawn,scarf,#959A99,#E6CAAF
standard,bucket hat,sparkling,yawn,hoodie,#FFFFFF,#F68A5C
nerdy,green mohawk,closed,grinning,hawaiian3,#181B2B,#F68A5C
standard,red mohawk,wink,yawn,hawaiian3,#181B2B,#98CDCD
standard,aviator,closed,open,standard,#959A99,#E6CAAF
standard,santa hat,standard,standard,t-shirt,#F6C3DB,#E6CAAF
shiny,snowhat,standard,no expression,scarf,#C62B3E,#FAE74B
nerdy,bucket hat,angry,open,collared,#FFFFFF,#98CDCD
nerdy,snowhat,sparkling,standard,inmate,#F6C3DB,#F68A5C
transparent,baseball,closed,no expression,hawaiian3,#181B2B,#FAE74B
transparent,aviator,angry,yawn,collared,#C62B3E,#F68A5C
standard,afro,sparkling,no expression,hawaiian3,#C62B3E,#F68A5C
transparent,poop,standard,no expression,tattoos,#959A99,#E6CAAF
vintage yellow,baseball,wink,grinning,basketball,#C62B3E,#98CDCD
transparent,snowhat,sparkling,open,hawaiian3,#181B2B,#FD9DCB
cool gold,snowhat,angry,standard,t-shirt,#181B2B,#F68A5C
transparent,poop,sparkling,standard,hawaiian2,#959A99,#F68A5C
shiny,afro,closed,grinning,hoodie,#D9BD9E,#98CDCD
shiny,snowhat,closed,standard,collared,#959A99,#F68A5C
transparent,santa hat,sparkling,yawn,scarf,#F6C3DB,#FD9DCB
nerdy,afro,standard,no expression,hawaiian1,#387DDC,#E6CAAF
plastic,fishing hat,dizzy,standard,scarf,#959A99,#EE2840
nerdy,afro,wink,grinning,hawaiian3,#FFFFFF,#B5B3DA
vintage red,fishing hat,closed,open,standard,#FFFFFF,#FD9DCB
nerdy,snowhat,wink,no expression,hawaiian3,#181B2B,#F68A5C
shiny,ribs,closed,standard,basketball,#FFFFFF,#FAE74B
plastic,white mohawk,standard,grinning,collared,#F6C3DB,#FAE74B
plastic,snowhat,dizzy,smoking,basketball,#FFFFFF,#98CDCD
nerdy,poop,standard,smoking,scarf,#959A99,#FD9DCB
transparent,blue mohawk,wink,open,hawaiian2,#181B2B,#FD9DCB
transparent,aviator,closed,open,overalls,#181B2B,#E6CAAF
cool gold,red mohawk,wink,grinning,tattoos,#181B2B,#B5B3DA
standard,bennett,closed,grinning,hoodie,#FFFFFF,#B5B3DA
standard,afro,angry,standard,hoodie,#D9BD9E,#EE2840
plastic,afro,standard,grinning,collared,#181B2B,#F68A5C
plastic,standard,standard,yawn,hawaiian2,#F6C3DB,#B5B3DA
standard,bucket hat,standard,smoking,overalls,#D9BD9E,#FAE74B
shiny,green mohawk,sparkling,no expression,collared,#959A99,#F68A5C
nerdy,bucket hat,standard,open,overalls,#181B2B,#98CDCD
cool gold,standard,dizzy,smoking,t-shirt,#D9BD9E,#E6CAAF
transparent,ribs,standard,smoking,t-shirt,#D9BD9E,#EE2840
transparent,red mohawk,wink,standard,basketball,#181B2B,#F68A5C
transparent,standard,angry,yawn,scarf,#D9BD9E,#98CDCD
standard,bennett,wink,open,hawaiian2,#F6C3DB,#E6CAAF
vintage yellow,white mohawk,closed,standard,basketball,#959A99,#FAE74B
cool pink,blue mohawk,standard,standard,t-shirt,#F6C3DB,#98CDCD
cool gold,afro,standard,smoking,collared,#FFFFFF,#B5B3DA
cool pink,ribs,standard,grinning,hawaiian1,#FFFFFF,#FAE74B
standard,red mohawk,standard,standard,hoodie,#FFFFFF,#B5B3DA
cool gold,ribs,closed,open,hawaiian3,#181B2B,#FD9DCB
nerdy,afro,standard,open,hoodie,#FFFFFF,#E6CAAF
transparent,snowhat,closed,yawn,inmate,#F6C3DB,#F68A5C
cool pink,aviator,sparkling,grinning,basketball,#181B2B,#E6CAAF
standard,poop,closed,open,hawaiian3,#387DDC,#F68A5C
standard,poop,standard,fish,collared,#D9BD9E,#E6CAAF
transparent,bennett,dizzy,grinning,hawaiian3,#FFFFFF,#98CDCD
shiny,blue mohawk,sparkling,open,collared,#181B2B,#FD9DCB
transparent,afro,standard,standard,hawaiian3,#181B2B,#E6CAAF
plastic,snowhat,closed,standard,overalls,#FFFFFF,#FAE74B
transparent,standard,dizzy,yawn,scarf,#FFFFFF,#E6CAAF
standard,ribs,standard,smoking,hoodie,#F6C3DB,#F68A5C
standard,standard,closed,smoking,t-shirt,#FFFFFF,#98CDCD
cool gold,baseball,sparkling,open,hoodie,#D9BD9E,#E6CAAF
shiny,blue mohawk,wink,smoking,basketball,#181B2B,#EE2840
vintage red,santa hat,standard,standard,scarf,#959A99,#E6CAAF
transparent,blue mohawk,wink,grinning,hawaiian2,#FFFFFF,#98CDCD
standard,bennett,angry,no expression,inmate,#FFFFFF,#F68A5C
transparent,fishing hat,wink,grinning,scarf,#D9BD9E,#FD9DCB
transparent,baseball,closed,standard,hawaiian1,#D9BD9E,#FD9DCB
vintage red,aviator,angry,grinning,hawaiian2,#FFFFFF,#F68A5C
cool gold,afro,wink,no expression,t-shirt,#959A99,#E6CAAF
nerdy,bennett,standard,fish,inmate,#C62B3E,#98CDCD
standard,ribs,standard,no expression,hawaiian3,#D9BD9E,#E6CAAF
transparent,aviator,closed,smoking,basketball,#FFFFFF,#FD9DCB
vintage yellow,santa hat,closed,grinning,t-shirt,#FFFFFF,#FD9DCB
vintage yellow,santa hat,standard,standard,overalls,#D9BD9E,#E6CAAF
vintage yellow,poop,angry,open,basketball,#D9BD9E,#FD9DCB
standard,afro,wink,open,basketball,#F6C3DB,#FAE74B
transparent,santa hat,dizzy,yawn,basketball,#959A99,#B5B3DA
vintage yellow,bennett,sparkling,standard,hoodie,#959A99,#FD9DCB
nerdy,blue mohawk,wink,standard,standard,#D9BD9E,#E6CAAF
vintage red,afro,standard,grinning,hawaiian3,#181B2B,#F68A5C
plastic,aviator,dizzy,no expression,basketball,#959A99,#F68A5C
plastic,sausage,standard,yawn,hawaiian1,#D9BD9E,#E6CAAF
nerdy,santa hat,standard,yawn,overalls,#181B2B,#EE2840
plastic,snowhat,closed,standard,hawaiian1,#959A99,#B5B3DA
cool pink,afro,closed,yawn,basketball,#181B2B,#98CDCD
plastic,bennett,standard,grinning,overalls,#FFFFFF,#FD9DCB
vintage yellow,white mohawk,angry,yawn,t-shirt,#FFFFFF,#B5B3DA
shiny,baseball,closed,open,hawaiian1,#C62B3E,#E6CAAF
vintage red,white mohawk,closed,yawn,t-shirt,#D9BD9E,#E6CAAF
plastic,bennett,sparkling,standard,hoodie,#959A99,#FAE74B
nerdy,aviator,standard,open,basketball,#F6C3DB,#E6CAAF
shiny,bennett,wink,standard,collared,#181B2B,#FD9DCB
standard,fishing hat,sparkling,fish,tattoos,#D9BD9E,#B5B3DA
standard,fishing hat,closed,standard,collared,#F6C3DB,#EE2840
cool gold,bennett,standard,open,t-shirt,#181B2B,#FAE74B
cool gold,standard,standard,no expression,basketball,#FFFFFF,#EE2840
nerdy,baseball,dizzy,grinning,inmate,#181B2B,#F68A5C
shiny,fishing hat,angry,smoking,overalls,#FFFFFF,#98CDCD
standard,bennett,sparkling,no expression,overalls,#181B2B,#EE2840
nerdy,red mohawk,sparkling,standard,hawaiian1,#F6C3DB,#FD9DCB
nerdy,afro,wink,grinning,collared,#181B2B,#E6CAAF
shiny,aviator,wink,standard,overalls,#F6C3DB,#E6CAAF
standard,red mohawk,wink,standard,punk,#FFFFFF,#FD9DCB
nerdy,red mohawk,standard,standard,hawaiian3,#181B2B,#FD9DCB
vintage red,red mohawk,angry,fish,punk,#959A99,#FD9DCB
cool gold,white mohawk,standard,yawn,t-shirt,#FFFFFF,#F68A5C
nerdy,santa hat,standard,no expression,hawaiian1,#FFFFFF,#EE2840
transparent,ribs,standard,grinning,hawaiian3,#FFFFFF,#B5B3DA
vintage red,bennett,closed,grinning,hawaiian3,#387DDC,#98CDCD
transparent,santa hat,sparkling,no expression,hawaiian3,#181B2B,#FD9DCB
standard,afro,standard,yawn,hawaiian1,#F6C3DB,#EE2840
cool gold,bucket hat,closed,fish,hawaiian2,#959A99,#E6CAAF
cool pink,white mohawk,sparkling,standard,basketball,#181B2B,#E6CAAF
standard,blue mohawk,angry,standard,overalls,#FFFFFF,#FD9DCB
nerdy,bucket hat,standard,yawn,hawaiian3,#FFFFFF,#E6CAAF
standard,white mohawk,standard,open,hawaiian1,#959A99,#E6CAAF
nerdy,sausage,sparkling,open,collared,#FFFFFF,#FAE74B
vintage yellow,afro,standard,smoking,inmate,#F6C3DB,#98CDCD
plastic,bucket hat,angry,open,tattoos,#F6C3DB,#E6CAAF
shiny,sausage,sparkling,open,t-shirt,#F6C3DB,#EE2840
standard,afro,standard,no expression,t-shirt,#D9BD9E,#98CDCD
cool gold,afro,wink,grinning,hoodie,#FFFFFF,#B5B3DA
nerdy,red mohawk,dizzy,smoking,tattoos,#181B2B,#B5B3DA
transparent,santa hat,angry,standard,overalls,#181B2B,#FAE74B
nerdy,bucket hat,closed,grinning,scarf,#F6C3DB,#E6CAAF
transparent,ribs,standard,smoking,hawaiian3,#F6C3DB,#F68A5C
transparent,bucket hat,wink,yawn,basketball,#959A99,#F68A5C
transparent,bucket hat,standard,yawn,hawaiian1,#959A99,#FAE74B
standard,bucket hat,closed,no expression,hawaiian1,#C62B3E,#EE2840
vintage red,bucket hat,angry,open,scarf,#D9BD9E,#F68A5C
standard,snowhat,sparkling,open,hoodie,#181B2B,#E6CAAF
nerdy,fishing hat,wink,open,t-shirt,#FFFFFF,#E6CAAF
shiny,baseball,closed,fish,t-shirt,#FFFFFF,#FD9DCB
cool pink,blue mohawk,standard,grinning,overalls,#959A99,#F68A5C
standard,baseball,wink,standard,scarf,#C62B3E,#98CDCD
standard,bennett,dizzy,smoking,scarf,#181B2B,#E6CAAF
standard,baseball,angry,standard,basketball,#FFFFFF,#98CDCD
standard,afro,angry,standard,hawaiian1,#D9BD9E,#EE2840
nerdy,white mohawk,wink,grinning,tattoos,#F6C3DB,#98CDCD
nerdy,afro,closed,fish,inmate,#959A99,#B5B3DA
plastic,snowhat,standard,yawn,overalls,#181B2B,#FAE74B
nerdy,fishing hat,closed,yawn,punk,#FFFFFF,#F68A5C
vintage yellow,baseball,angry,standard,tattoos,#D9BD9E,#FAE74B
cool gold,white mohawk,sparkling,standard,basketball,#F6C3DB,#F68A5C
vintage red,afro,sparkling,standard,scarf,#C62B3E,#B5B3DA
nerdy,sausage,standard,grinning,basketball,#FFFFFF,#FD9DCB
standard,ribs,wink,no expression,punk,#F6C3DB,#FD9DCB
cool gold,white mohawk,wink,standard,basketball,#FFFFFF,#EE2840
cool gold,bennett,dizzy,no expression,hoodie,#387DDC,#E6CAAF
plastic,afro,closed,fish,tattoos,#FFFFFF,#FD9DCB
nerdy,bucket hat,standard,smoking,hoodie,#181B2B,#FD9DCB
vintage yellow,snowhat,wink,standard,t-shirt,#387DDC,#FD9DCB
transparent,bennett,standard,standard,scarf,#D9BD9E,#B5B3DA
standard,bucket hat,wink,yawn,hawaiian2,#D9BD9E,#B5B3DA
standard,blue mohawk,sparkling,standard,hawaiian3,#D9BD9E,#FD9DCB
nerdy,snowhat,angry,smoking,hoodie,#181B2B,#B5B3DA
standard,sausage,angry,no expression,hawaiian3,#181B2B,#E6CAAF
nerdy,standard,standard,standard,basketball,#FFFFFF,#E6CAAF
transparent,white mohawk,standard,grinning,hawaiian1,#FFFFFF,#98CDCD
transparent,snowhat,closed,no expression,basketball,#181B2B,#E6CAAF
